"author_name","pub_count"
Bijan Davvaz,150
Gerhard J. Woeginger,150
Richard T. Snodgrass,150
Tong Heng Lee,150
Yi Pan 0001,150
Mario Gerla,151
C. L. Philip Chen,152
Ying Wang,152
Xiang-Yang Li 0001,153
Xinghuo Yu 0001,153
Yunhao Liu,153
Peng Wang,154
Shengyuan Xu,154
Shi Jin,155
Arthur W. Toga,156
Bin Wang,156
Dusit Niyato,156
Tao Zhang,156
Xin Chen,156
Arun Kumar Sangaiah,157
F. Richard Yu,157
Hsinchun Chen,157
Jie Li,157
Jrgen Bajorath,157
Philip S. Yu,157
Brian D. O. Anderson,158
Hong Yan 0001,158
Yi Wang,158
Ignacio E. Grossmann,159
Shuzhi Sam Ge,159
Shyi-Ming Chen,159
Xiang-Gen Xia,159
Elisa Bertino,160
Hamid Reza Karimi,160
Helmut Reimer,160
Li Wang,160
Ying Li,160
Hui Wang,161
Song Guo 0001,161
Xiang Li,161
Yan Wang,161
Hermann A. Maurer,162
Jong Hyuk Park,163
Wei Liu,163
Hui Zhang,164
Jianxin Wang,164
Abdulmotaleb El-Saddik,165
Khaled Ben Letaief,165
Jian Li,166
Paul M. Thompson,166
Hongwei Liu,167
Yang Li,167
Fumiyuki Adachi,168
Yuguang Fang,168
Edmond Bianco,169
Miroslav Krstic,169
Qi Wang,169
Ekram Hossain,170
Lorenzo Bruzzone,171
Noga Alon,171
Robert W. Heath Jr.,172
Gheorghe Paun,173
Tingwen Huang,173
Ying Zhang,173
Yuanqing Xia,173
Jian Wang,174
Josep M. Guerrero,175
Ian F. Akyildiz,177
Naixue Xiong,177
Xin Yao 0001,177
Yi Zhang,177
Zeshui Xu,178
Abdul-Majid Wazwaz,179
Toshio Fukuda,179
Yi-Bing Lin,179
Karl J. Friston,180
Laurence T. Yang,180
Wen Gao 0001,180
Yong Zhang,180
Dacheng Tao,183
Yuan Yan Tang,184
Joel J. P. C. Rodrigues,185
Lihua Xie,185
Karl Rihaczek,186
Jun Zhang,187
Yang Liu,187
Gregory Levitin,188
Jing Zhang,188
Panos M. Pardalos,189
Robert Schober,189
Hui Li,191
Huijun Gao,191
Xin Wang,192
Azzedine Boukerche,193
Mohammad S. Obaidat,194
Yan Zhang,194
Yang Yang,195
Gilbert Laporte,197
Li Li,197
Liangpei Zhang,198
Kimon P. Valavanis,199
