"decade","total"
"1940-1950",114
"1941-1951",125
"1942-1952",129
"1943-1953",148
"1944-1954",214
"1945-1955",306
"1946-1956",395
"1947-1957",454
"1948-1958",562
"1949-1959",666
"1950-1960",776
"1951-1961",923
"1952-1962",1066
"1953-1963",1272
"1954-1964",1472
"1955-1965",1649
"1956-1966",1883
"1957-1967",2246
"1958-1968",2597
"1959-1969",3070
"1960-1970",3550
"1961-1971",4015
"1962-1972",4733
"1963-1973",5556
"1964-1974",6415
"1965-1975",7439
"1966-1976",8560
"1967-1977",9786
"1968-1978",11112
"1969-1979",12297
"1970-1980",13545
"1971-1981",14913
"1972-1982",16168
"1973-1983",17451
"1974-1984",18997
"1975-1985",20573
"1976-1986",21941
"1977-1987",23266
"1978-1988",24887
"1979-1989",26925
"1980-1990",29501
"1981-1991",32310
"1982-1992",36473
"1983-1993",40982
"1984-1994",46033
"1985-1995",51629
"1986-1996",58118
"1987-1997",65395
"1988-1998",72992
"1989-1999",81563
"1990-2000",90915
"1991-2001",101370
"1992-2002",111391
"1993-2003",121867
"1994-2004",134219
"1995-2005",147915
"1996-2006",166507
"1997-2007",187469
"1998-2008",212560
"1999-2009",240958
"2000-2010",273723
"2001-2011",302076
"2002-2012",334489
"2003-2013",364984
"2004-2014",393077
"2005-2015",425127
"2006-2016",450584
"2007-2017",476318
"2008-2018",505369
"2009-2019",538278
"2010-2020",574163
"2011-2021",544202
"2012-2022",495472
"2013-2023",447648
"2014-2024",399473
"2015-2025",345257
"2016-2026",291898
"2017-2027",234944
"2018-2028",169789
"2019-2029",96096
"2020-2030",13657
