"name","collab_count"
Wei Zhang,848
Yu Zhang,834
Lei Wang,823
Yan Li,804
Wei Li,786
Li Zhang,755
Wei Wang,741
Lei Zhang,682
Jing Li,666
Jing Wang,651
Wei Chen,637
Yang Liu,635
Paul M. Thompson,618
Arthur W. Toga,606
Athanasios V. Vasilakos,601
Jun Wang,598
Xin Wang,584
Mohsen Guizani,574
Jun Zhang,555
Yan Zhang,555
Yang Yang,553
Victor C. M. Leung,546
Yang Li,544
Jing Zhang,532
Yi Zhang,532
Li Li,527
Sbastien Ourselin,527
Ying Zhang,525
Ying Li,524
Jie Li,521
Yong Wang,507
Hui Li,497
Ying Wang,494
Jian Wang,493
Yong Zhang,489
Daniel Rueckert,486
Li Wang,486
Qi Wang,485
Hui Wang,478
Peng Wang,475
Xin Li,460
Yi Wang,459
Lajos Hanzo,457
Zhu Han,455
David W. Bates,454
Jian Li,452
Naixue Xiong,452
Wei Liu,451
Jun Li,446
Kim-Kwang Raymond Choo,446
Yan Wang,445
D. Louis Collins,441
Tao Wang,437
Tao Zhang,436
Yu Wang,434
Hao Wang,431
Bin Li,430
Xuelong Li,426
Arun Kumar Sangaiah,425
Fan Zhang,425
Vince D. Calhoun,423
Joel J. P. C. Rodrigues,422
Xi Chen,420
Hui Zhang,416
Qi Zhang,413
Yang Wang,408
Xiang Li,406
Xin Chen,406
Chao Wang,405
Guanrong Chen,404
Bin Wang,402
Jie Zhang,402
Bo Zhang,399
Yi Li,395
H. Vincent Poor,394
Licheng Jiao,393
Xin Zhang,392
Bo Li,391
Jing Liu,391
Qing Wang,391
Albert Y. Zomaya,389
Hai Jin 0001,388
Witold Pedrycz,386
Qiang Li,382
Yu Liu,382
Feng Li,381
Alan C. Evans,380
James Casey,377
Tao Li,375
Yang Zhang,374
Fan Yang,373
Yong Liu,372
Qian Zhang,371
Lei Liu,369
Rui Zhang,368
Yu Chen,368
Xuemin Shen,366
Dinggang Shen,365
Ying Liu,365
Jian Liu,364
Jiannong Cao,364
Jing Chen,361
Qian Wang,361
Chin-Chen Chang 0001,360
Nicholas Ayache,360
Jian Zhang,357
Feng Wang,356
Peng Zhang,354
Jack J. Dongarra,353
Lin Li,353
Hong Wang,350
Peng Shi 0001,348
Laurence T. Yang,345
Bruce Fischl,344
Jie Chen,344
Ming Li,344
Josep M. Guerrero,342
Keqin Li 0001,341
Wei Xu,340
Houbing Song,339
Mohamed-Slim Alouini,339
Qiang Liu,339
Hsiao-Hwa Chen,338
Yan Liu,338
Chao Zhang,332
Uwe Naumann,330
Karl J. Friston,329
Rui Wang,329
Bin Liu,325
Lei Chen,325
Hao Li,322
Min Li,320
Xin Liu,320
Nassir Navab,319
Ning Li,319
Feng Liu,318
Kai Wang,318
Rui Li,318
Stephen M. Smith,315
Fei Wang,313
Gang Wang,313
Hao Zhang,313
Martin Wolf,312
Bram van Ginneken,311
Sebastian Euler,310
Wen Gao 0001,310
Dong Wang,309
Ian T. Foster,309
MengChu Zhou,309
Dacheng Tao,303
Jinde Cao,303
Bo Wang,302
Ping Wang,302
Gang Li,299
Geoffrey C. Fox,299
Jianxin Wang,299
Jie Wang,299
Yue Wang,299
Max A. Viergever,298
Ren Reimann,298
Torsten Schmidt,298
Zheng Li,297
Wei Zhou,295
Dariusz Gra,293
David Schultz,293
Jun Yang,293
Ning Wang,292
Wolfgang Rhode,292
Luca Benini,291
Qing Li,291
Spencer R. Klein,291
Wei Wu,291
Benjamin Eberhardt,290
Bin Wu,290
Jing Yang,290
Martin Schmitz,290
Xianwu Xu,290
Feifei Huang,289
Jan Blumenthal,289
Sebastian Bser,289
Shigeru Yoshida,289
Andreas Gro,288
Bo Liu,288
Hui Liu,288
Carlos A. Argelles Delgado,287
Christopher N. Weaver,287
Dmitry Chirkin,287
Jakob van Santen,287
Jie Wu 0001,287
Juan Carlos Daz-Vlez,287
Julia K. Becker Tjus,287
Katharina Frantzen,287
Marek Kowalski,287
Nathan Whitehorn,287
Thomas K. Gaisser,287
Tomasz Fuchs,287
Abd Al Karim Haj Ismail,286
Achim Stl,286
Ahmad Omairat,286
Albrecht Karle,286
Alessio Tamburro,286
Alex Olivas,286
Alexander Kappes,286
Alexander Stasik,286
Ali R. Fazely,286
Allan Hallgren,286
Anatoli Fedynitch,286
Andreas Homeier,286
Andreas Tepe,286
Angel H. Cruz Silva,286
Anna Bernhard,286
Anna Franckowiak,286
Anna Kriesten,286
Anna Obertacke,286
Anne Schukraft,286
Anthony M. Brown,286
Aongus Starbuck  Murchadha,286
Arne Schnwald,286
