"year","name","count"
1940,J. C. C. McKinsey,3
1941,C. H. Langford,2
1941,Haskell B. Curry,2
1942,Alan M. Turing,2
1942,Haskell B. Curry,2
1942,J. Barkley Rosser,2
1942,Paul Bernays,2
1943,Carl G. Hempel,1
1943,J. C. C. McKinsey,1
1943,M. J. Alban,1
1943,Nelson Goodman,1
1943,Paul Bernays,1
1943,R. M. Martin,1
1943,Ray H. Dotterer,1
1943,Shianghaw Wang,1
1944,Frederic Brenton Fitch,2
1945,Willard Van Orman Quine,2
1946,Ruth C. Barcan,2
1946,Willard Van Orman Quine,2
1947,Willard Van Orman Quine,3
1948,Alfred Tarski,2
1948,Frederic Brenton Fitch,2
1949,Frederic Brenton Fitch,3
1950,Hao Wang 0001,4
1951,John R. Myhill,2
1952,Haskell B. Curry,4
1953,John R. Myhill,3
1954,Willard Van Orman Quine,3
1955,Georges Brigham,3
1956,Nelson M. Blachman,3
1957,Amos Nathan,2
1957,Bradford Dunham,2
1957,D. D. Aufenkamp,2
1957,Franz E. Hohn,2
1957,G. Robert Gunther-Mohr,2
1957,Peter J. Price,2
1957,Theodore Hailperin,2
1957,William Craig,2
1958,Georg Kreisel,3
1958,Peter J. Price,3
1959,Alan Ross Anderson,3
1959,Seymour Ginsburg,3
1960,Boleslaw Sobocinski,4
1961,Boleslaw Sobocinski,9
1962,Boleslaw Sobocinski,8
1963,Boleslaw Sobocinski,3
1963,Clarence L. Coates,3
1963,Granino A. Korn,3
1963,H. H. Rosenbrock,3
1963,Harold Chestnut,3
1963,Ivo Thomas,3
1963,Jack Sklansky,3
1963,Philip M. Lewis II,3
1964,Boleslaw Sobocinski,7
1965,Pavel Ndvornk,4
1966,Peter H. Starke,4
1967,H. P. Edmundson,4
1968,King-Sun Fu,5
1969,George S. Axelby,7
1970,Robert S. Ledley,5
1971,Boleslaw Sobocinski,7
1972,Boleslaw Sobocinski,8
1972,Godfried T. Toussaint,8
1973,Boleslaw Sobocinski,8
1974,Jack Buchanan,9
1975,Azriel Rosenfeld,8
1976,Azriel Rosenfeld,12
1977,Azriel Rosenfeld,7
1978,Ware Myers,11
1979,George M. Siouris,8
1979,Martin W. Bunder,8
1980,David L. Hurd,11
1980,Grzegorz Rozenberg,11
1981,Grzegorz Rozenberg,8
1982,Azriel Rosenfeld,16
1983,Azriel Rosenfeld,25
1984,Louis Kruh,13
1985,Azriel Rosenfeld,9
1985,Louis Kruh,9
1986,Louis Kruh,12
1987,H. Jaap van den Herik,9
1988,A. Martin Wildberger,12
1989,Azriel Rosenfeld,13
1990,A. Martin Wildberger,12
1990,David J. Evans 0001,12
